Nama Pengulas,Ulasan,Rating
Rynld Togi . S,"GUA BELI AMERICANO DOANG 1 LEWAT GOJEK, TAPI TULISAN NYA PESANAN SEDANG DIBUAT 75 MENIT. GILA LU BIKIN AMERICANO DOANG 1 BIJI 75 MENIT. LU MAH BIKIN RENDANG KALI BUKAN BIKIN KOPI BIKIN KOPI HAMPIR 1 JAM, KLO UDH SELESAI BARU DAPET DRIVER. GA JLS TAI BIKIN KOPI DOANG LAMA BANGET HAMPIR 1 JAM Lainnya",1 bintang
Saintz,Saya suka tempat ini karena buka 24 jam dan memiliki wifi cepat sehingga saya bisa mengerjakan pekerjaan saya di sini. Pelayanannya juga cepat dan stafnya ramah. … Lainnya,5 bintang
Lis Horning,"Kafe ini buka 24 jam, sehingga sangat praktis, terutama untuk kunjungan larut malam. Salah satu keunggulan terbesarnya adalah kafe ini tidak pernah tutup. … Lainnya",4 bintang
Susanto Eddy,"Kopinya enak, tidak membuat perut sakit, tempatnya bersih dan nyaman.
Jenis pesanan…
Lainnya",5 bintang
rxlky,"Luas dan lapang. Tempatnya sejuk dan bersih. Sayangnya, kopinya tidak seenak dulu.
Makanan: 3…
Lainnya",4 bintang
trAvelAgAin,"Buka 24 jam dan tokonya keren banget!! Banyak pilihan minumannya dan tumblernya murah, jadi buruan beli!",5 bintang
Vonny Yunita,"Tempat yang bagus untuk rapat, kopinya enak.
Jenis pesanan
Makan di temp…
Lainnya",4 bintang
william jefferson,"Saya selalu senang pergi ke tempat ini untuk menghabiskan waktu atau bekerja.
Saya juga pernah mengalami hal serupa ketika saya lupa membawa charger laptop dan staf menyimpannya untuk saya. Terima kasih tim KopKen 🙏🏼 … Lainnya",5 bintang
Randy Wijaya,"Merek-merek berkualitas tinggi, tempat istirahat makan siang terbaik, dan sedang mencari secangkir kopi. Lainnya",5 bintang
Sectio Aoka,"Mantaaap
Makanan: 5
Layanan:…
Lainnya",5 bintang
Software DS,"Pelayanan Buruk
Jenis pesanan
Makan di tempat…
Lainnya",1 bintang
Rachel Putri,,5 bintang
Delila Hemmings,,5 bintang
Sefany Sholia,,5 bintang
Rully Kurniawan,,5 bintang
Ellin Kirana Fierly,,5 bintang
Hartanto Kurniawan,,5 bintang
Rere Lim,,5 bintang
Anggit Mahendra,,5 bintang
Daniel Aguirre,,5 bintang
Abel Ludji Bire,,5 bintang
Renaldy Dwi Muharram,,5 bintang
Elisa April,,5 bintang
Nabil Jiddan,,5 bintang
Safira Cahyaningsih,"Barista itu ramah.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Fina Silviana,,5 bintang
Anindia A,"Kerja bagus !!
Makanan: 5
Layanan:…
Lainnya",5 bintang
Angga Arya Purnama,,5 bintang
ivan wei antonius,,5 bintang
garin fajar,,5 bintang
Muhammad Adlin Rachmansyah,,5 bintang
Febry Aditiya,,5 bintang
Yuanita Rahman,,5 bintang
M.Ridwan Ridwan,,5 bintang
roro Latisha,,5 bintang
chyntia rachel,,5 bintang
syarifahzalwa zalzabhila8823,,5 bintang
Dede Sadeli,"Baristany rammah poul
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Fadli Arm,,5 bintang
Mega Yuwita Pertiwi,,5 bintang
Fitri Octaviany,,5 bintang
Bherlyano Barrera,,5 bintang
M. DWI CHANDRA,,5 bintang
Siti Aisyah Pane,,4 bintang
Putri Nabilla,,5 bintang
Pampam Rinaldhi,,4 bintang
andre A,,3 bintang
Firman Ubaidillah,,5 bintang
eM R I D,,5 bintang
