Nama Pengulas,Ulasan,Rating
Supri YANTO,"Udah gobiz tapi gk dbkinin , lama",1 bintang
Rangga Wahyudi,matcha nya tolong di perhatikan,4 bintang
BINTANG SATU,"pelayanan terburuk
Jenis pesanan
Bawa pulang",1 bintang
Marlinna M,Pelayanannya cepat dan ramah,5 bintang
Dennis,Servicenya payah,1 bintang
Ika W.Z,"Favorite kopi kenangan mantan
Jenis pesanan
Bawa pulang…
Lainnya",4 bintang
Harboot Machiato,Ada tempat untuk minum ditempat,5 bintang
stanley Gyver,Enak tempatnya,4 bintang
Arifin Surya,Lokasinya ok,5 bintang
Jenny Cin,Selalu ramai pengunjung,4 bintang
Alven Fernando,Tempat ngopi sambil kerja,5 bintang
Amie Nurul,Tempatnya instagramable,5 bintang
Roby Taufik,Oke,4 bintang
desi widiyastuti,"Pelayanan cepat, staffnya ramahhh. Recomended
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
picky ramadhan,"barista nama rafli ramah sekali
Makanan: 5…
Lainnya",5 bintang
Fauzan aldiansyah,"pelayanananya seru jadi nyaman disisni
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Eni Sukana,"Tempatnya luas dan rapih, the drinks are also nice takarannya konsisten, and serversnya selalu ramah Lainnya",5 bintang
Rindang Saragih,"Nice Place. Pelayanan dan Minumannya Oke dan Enak. Recomend
Jenis pesanan…
Lainnya",5 bintang
Ike Esranii,"bersih, pelayanan bagus dan ramah.
Makanan: 5…
Lainnya",5 bintang
Yesinta Sarah Anggen,"nyaman & ramah banget barista nya ❤️
Makanan: 5…
Lainnya",5 bintang
aurelia josephine,Enak bgt tempatnya! Barista nya juga baik dan ramah banget apalagi kak Nanda & Kak Amal!! THE BESTTT Lainnya,5 bintang
adono boragu,"ka Nanda ramah bgtt, semuanya jg ramah
Makanan: 5…
Lainnya",5 bintang
Emansyah Tarjulin,"Oke
Makanan: 4
Layanan: 4…
Lainnya",4 bintang
Dian Novita,"Mantapsss
Makanan: 5
Layanan:…
Lainnya",5 bintang
Joy Efata Matauseja Huka,"Semuanya bagus dari pelanyanan dan makanan
Makanan: 5…
Lainnya",5 bintang
FATKHAN NUR AFRIANTO,"enak bgt disini, sering makanya disini
Makanan: 5…
Lainnya",5 bintang
Muhammad Haikal Andrean Andrean,Pelayanannya bagus super super ramah,5 bintang
Wisata Kuliner dan Masak,"Tptnya nyaman, staffnya ramah2 friendly
Makanan: 5…
Lainnya",5 bintang
Usman Surya,"Mantan terbaik yang tidak pernah mengecewakan....  Rasanya pengen balikan terus...
Jenis pesanan…
Lainnya",5 bintang
Androjuniko,"Ambience bagus, tempat juga nyaman. Suka bgt 💯 …
Jenis pesanan
Makan di t…
Lainnya",5 bintang
May Taaa,"Tempatnya nyaman, pelayanannya juga cepat,best lah pokoknya 👍 …
Jenis pesanan…
Lainnya",5 bintang
Echafiyani Eka,"Pelayanan ramah, kopinya pas... Selalu berlangganan kopi kenangan sejak dulu. Tidak mau kelain hati... Lainnya",5 bintang
RIZKY SEPTIANSYAH,"Tempat nya nyaman, mknan & mnuman nya enak, pelayanan nya juga ramah
Makanan: 5…
Lainnya",5 bintang
