Nama Pengulas,Ulasan,Rating
Amellya Aisyara,"Buka 24 jam
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Ady Sentoel,"Enak buat nongkrong
Makanan: 5
Layanan:…
Lainnya",5 bintang
Sri Rino,Pelayanan lambat karyawan lelet,1 bintang
Regina4913 Mantiri,"Santai dan nyaman nongkrong disini
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Hendra Rahadian,Coklat 100% ajah,4 bintang
Deden Sholehudin,Enak,4 bintang
Joshua Upendra,"enak tmptnya
Makanan: 5
Layanan:…
Lainnya",5 bintang
SHUTOFF,"bolang is here
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
arif firmansyah,"Baristanya ramah
Makanan: 5
Layanan:…
Lainnya",5 bintang
Gyaku Hagatan,,1 bintang
Snoopy Cahya,Barista Ganteng,5 bintang
Medianakim,"Oke
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Jhon Chua,"Oke lah...
Makanan: 3
Layanan:…
Lainnya",5 bintang
Gordon Tobing,"Ya bisa juga
Makanan: 2
Layanan:…
Lainnya",2 bintang
Saidi M,"Kenangan..
Makanan: 5
Layanan:…
Lainnya",5 bintang
andry muhamad,Enak,5 bintang
Prisma Suganda,"Mantul dah esppresso shotnyaa, the best pokonamaaa 😁 …
Jenis pesanan
Bawa…
Lainnya",5 bintang
gracee pertiwi,"SERING BELI DISINI RAMAH
Makanan: 5…
Lainnya",5 bintang
Lu Sapaalek,"Terbaik, the best lah pokonamaaa 😁 …
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
najwa maulidina,"pelayanan bagus
Makanan: 5
Layanan:…
Lainnya",5 bintang
Admin Sehatemosi,"Tempat nyaman buat saya nongkrong pagi disini (hbs jogging dsb) buat me time dn nyari inspirasi.
Jeni…
Lainnya",5 bintang
Debby Aprilia Effendi,"Enak banget kopinya, langganan hampir tiap hari beli karena kebetulan kantorku deket banget sama cabang ini. Pelayanannya ramah, cepet, ga ada yg jutek, tempatnya bersih, wangiii, dingin.. Lainnya",5 bintang
mahendra eka saputra,"Selalu jadi store andalan utk kopi pagi gw
Makanan: 5…
Lainnya",5 bintang
Wita Restianawati,"Sama kaya kopken yang lain, okesih tempatnya
Makanan: 5…
Lainnya",5 bintang
ijulganss ijulganss,pelayanan nya bagus kopinya enak murah meriah,5 bintang
Marzely Thufailah,"bagus, tempat nya strategis
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Siti Maidah,"Rasa Kopi Kenangan Mantan Rasa susu gula aren creamy dan roti coklat enak banget
Jenis pesanan…
Lainnya",5 bintang
tiaraa,"pelayanannyaaa okeee bgt kasirnya ramah asik tempatnya jugaa pw bgttt
Makanan: 5…
Lainnya",5 bintang
Uun pramesti,"tempatnya bagus dan sangat nyaman pelayanan nya juga bagus kakaknya ramah banget
Makanan: 5…
Lainnya",5 bintang
adelia puspa,"tempat nyaaa nyaman buat nongkrong, pelayanan ramah, buat ngerjain skripsi or wfh enakk bgtt 💗 …
Tarif…
Lainnya",5 bintang
Rasheesa Andika putri,"baristany ramah dan sangat humble😍 …
Makanan: 5…
Lainnya",5 bintang
Lidya Anggraini,"Pelayanan nya ramah banget
Jenis pesanan
Pesan antar…
Lainnya",5 bintang
Waluyo Tri Indrajid,"Mantap pelayanan ok
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
rini suryantini,"Pesen butterscot dikasih cappucino, pesen cappucino dikasihnya gula+susu+es gada kopinya. Mau balik lagi jauh, udh malem pula. Tolong lebih teliti lagi double check sebelum pesanan dikasih ke customer. Thx Lainnya",2 bintang
Dina Manilla,Sangat ramah pelayanannya dan sangat terjangkau harga nya dan rasa kopi nya sangat enak untuk di nikmatin Lainnya,5 bintang
Herman Sah,"Minuman dan makanan nya sangat enak dan tempatnya nyaman, pelayanan nya sangat ramah
Jenis pesanan…
Lainnya",5 bintang
Ardika Purnomo,"Parkir Rp 2.000
Makanan: 5
Layanan:…
Lainnya",5 bintang
tyloo,"Beli menu Aren Speculous Latte, gaada biskuitnya . rasanya juga kurang dan beda sama outlet lain . kecewa :(",3 bintang
Kavella Foodholic,"Nunggu 32 menit dari jam 14.46 -15.16, Susana di dalam AC nya kurang dingin jd masuk ttp geraaaaah, udah tau lebaran cuma ada 3 armada di balik meja bar, 1 kasir 2 barista, kenapa si ga di tambahin armada, untung mba2 nya ramah bisa buat … Lainnya",1 bintang
ayasa fitria,"best banget.. sering kesinii☺️
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Ayasa Rizqi fitria,"tempatnya enak buat nyantai👍🏻 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Bang Jali,"tempatnya nyaman enak untuk ngopi dan nyantai, baristanya ramah ramah
Makanan: 5…
Lainnya",5 bintang
Nurul Yaqin,"Datang saat kondisi store cukup ramai, tapi pelayanannya tetap ramah. Barista di Kopi Kenangan Ruko Joglo tetap melayani dengan baik dan pesanan juga diproses dengan cukup cepat, terutama ka nasril pelayanannya sangat ramah. Overall pengalaman yang oke. ☕ Lainnya",5 bintang
Angrilla Musfaranniss Chanti,"Datang saat kondisi store cukup ramai, tapi pelayanannya tetap ramah. Barista di Kopi Kenangan Ruko Joglo tetap melayani dengan baik dan pesanan juga diproses dengan cukup cepat. Overall pengalaman yang oke. ☕ Lainnya",5 bintang
nazril aril,pelayanan nya gajelas lama gua nunggu sejam di cuekin ga lucu banget ni aseli bikin orang kesel doang pelayanan bintang 0 Lainnya,1 bintang
Kyori Michael J,"saya pesan di aplikasi setelah nunggu lama, saya bingung kenapa pesanan lama banget sampai 30 menit lebih lalu saya tanya katanya belum siap, terus saya tunggu tiba tiba pesanan selesai saya belum ambil sudah nunggu hampir 2 jam Lainnya",1 bintang
Muhammad Rizki,"Pelayan terbaik!!, untuk minuman dan makanan berkualitas.
Makanan: 5…
Lainnya",5 bintang
Eric Bachtiar,"Dua bulan lalu saya berkunjung ke sini dan mendapat pengalaman tidak menyenangkan dengan toiletnya. Secara keseluruhan, dua bulan setelah kunjungan pertama saya, mereka berhasil mengatasi masalah tersebut dan memenuhi harapan pelayanan. Meskipun begitu, masih perlu dipasang colokan listrik. Lainnya",4 bintang
Vidiaaadwi Ramdani,"Di balik setiap orang sukses terdapat sejumlah besar kopi.
Jenis pesanan…
Lainnya",5 bintang
Wendy Hardynata,Tempat yang nyaman untuk bersantai. Ada juga Chigo & Flip Burger di sebelah toko. Tersedia juga lantai 2 dan tempat duduk di luar ruangan. Lainnya,5 bintang
AllifaGPR,"Sama seperti kopken lainnya seperti biasa. 24 jam tapi area lantai atas hanya sampai jam 11 malam
Jen…
Lainnya",4 bintang
SherKos,"Pelayanan cepat, menu dan rasa standar. Sayangnya, Wi-Fi-nya lambat dan tidak ada meja dengan stopkontak. Saya berharap kafe ini buka sampai pukul 00.00 di akhir pekan (lagipula, setelah pukul 20.00 lebih ramai)... Supaya saya bisa nongkrong lebih lama dengan teman-teman. Lainnya",4 bintang
Ach Hermawan,"Ada pengisian daya cepat Alva.
Tarif per orang
Rp 1–25.000…
Lainnya",5 bintang
Dewi Khoiriyah,"Staf bernama ""Mbak Eva"" sangat ramah dan memberikan pelayanan yang baik.
Jenis pesanan…
Lainnya",5 bintang
Anastasia Helena,"Tempatnya bagus dan ada area merokok yang memadai.

Parkirnya juga lumayan.",5 bintang
ade sopaheluwakan,"Makanan cepat saji, tapi saya menunggu hampir 20 menit untuk makanan disajikan.
Jenis pesanan…
Lainnya",1 bintang
"Hasan, Muhammad Ridho","Kamar dan toilet agak kotor, barista tidak ramah,
Makanan: 5…
Lainnya",2 bintang
Arman Pramono,"Pelayanan bagus. Lokasi strategis.
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Royke K,"Merek kafe lokal yang sudah dikenal dan bisa kita temukan hampir di mana saja...
Makanan: 4…
Lainnya",4 bintang
Vincentius Permana675,"Mungkin akan lebih baik jika buka 24 jam.
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Edy Hasyim,"Mahahoy
Suasana: 5",5 bintang
Ikhsan R,"Kedai kopi dengan akses tanpa henti untuk perangkat Anda.
Jenis pesanan…
Lainnya",1 bintang
Raden Fir,"Mntebb..
Jenis pesanan
Pesan antar…
Lainnya",5 bintang
Doddy Komar,"Kedai Kopi 24 Jam
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Elson Suseno Wijaya,"Bagus
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Fey Down,"Suka sekali!
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
HOME CARE IDAMAN,"Atas
Makanan: 5
Layanan: 4…
Lainnya",5 bintang
Sunaryo Naryo,"Sangat direkomendasikan
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Shasha Aini Ruddin,"lulus
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
isnain kemal,,5 bintang
UMMU ZAF,,5 bintang
Eko Sonicagusta,"Mantabs
Makanan: 5
Layanan: …
Lainnya",5 bintang
agol budiman,,4 bintang
Farah vilarsa,,5 bintang
Sudar Mono,,5 bintang
Karim Asfahani,,5 bintang
Syabri1967 Syabri (Abu Asyraf),,5 bintang
Muhammad Hafidz Zein,,5 bintang
Ruki Nur Upasanto,,5 bintang
Fery Murdiansyah,,5 bintang
nurohman,,5 bintang
Rouli Hosianna Sinaga,,5 bintang
eddy susanto,,5 bintang
Fatikhatul Rizki,,5 bintang
dims black,,5 bintang
ricky pahlevi,,5 bintang
Andreas S.J.,,5 bintang
Asep Muhidin,Bagus,5 bintang
D I K Y,Masukkan saja ingatan burukmu ke sini.,4 bintang
Fauzyozy Ozy,"Oke
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Yosa Fikri,"Dapatkan yang ringan dan gandakan.
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Fajrie,"Tempat yang bagus
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
vickson,,5 bintang
Ayu Ningtias,,5 bintang
Titus Hendarto,,5 bintang
Muh Muhajir Islam,,5 bintang
ahmad aryadi,,5 bintang
dinaa danti,,1 bintang
Tiara Dewi,,5 bintang
Sevda Annastasya,,5 bintang
Islani Dwi sabana,,5 bintang
okky triyanto,,5 bintang
Indra Satria,,5 bintang
Fahrel Rafyandra,,5 bintang
Bani Abdillah,"Kopi yang enak
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Seroli,,5 bintang
zaqi chesta,,5 bintang
Marcho “Marcho”,,5 bintang
wisnu tama,,5 bintang
Alfan Suryantoro,,5 bintang
Muhammad Habibi,,5 bintang
Arif Si Wawo,,5 bintang
widya wulan,,5 bintang
dr ajat,,5 bintang
The Gembitz Kent,,5 bintang
ferdiansyah dante,,5 bintang
dwi sugiarti,,4 bintang
Kezia Mourencia,,5 bintang
Renaldo 14,,5 bintang
nindy,,5 bintang
