Nama Pengulas,Ulasan,Rating
kurnia yuni,"Kafe yang nyaman untuk bekerja, dengan begitu banyak pilihan menu minuman yang semuanya lezat, sempurna untuk jam-jam berpikir. Lainnya",5 bintang
Christopher S,"Pelayanan bagus, tempat luas di lantai dua.

Namun, akan sulit bagi sebagian orang untuk mencapai tempat ini menggunakan … Lainnya",5 bintang
Terang Nirwana,"Sangat sulit mencari tempat parkir untuk mobil, butuh usaha.
Makanan: 4…
Lainnya",3 bintang
Adhe Wulandari,Tolak pembayaran tunai,1 bintang
Roy Ps,"Dekat MRT, lokasi bagus
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Om Yay,"Pelayanannya cepat, dan selalu tersenyum setiap kali kami membaca tulisan mereka... semuanya tentang mantanmu... 🤣 …",4 bintang
Rista Liando,"Salah satu tempat favorit saya, tidak terlalu ramai, kopinya enak, tempatnya nyaman dan luas.",5 bintang
irham maulana,,4 bintang
Muhammad Fauzan,"Terbaik
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Dheyna Hasiholan,"Oke
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Riezky .A,"Menurut saya, ini adalah salah satu tempat terbaik untuk menikmati secangkir kopi setelah bekerja di Lebak Bulus.",5 bintang
Gisela Mekky,"Mampir setelah naik MRT ke Lebakbulus...
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Hadlyus P Putra,,5 bintang
Varian Saputra,,5 bintang
Agus Rimus Liandi,"Tempat yang bagus
Makanan: 5
Layanan:…
Lainnya",5 bintang
kanaya putri,,5 bintang
elis asya10,,5 bintang
Faizah Imani Nouriza,,5 bintang
ADAM AMAR,,5 bintang
Anjani Rahma,,5 bintang
Hanhannana,,5 bintang
Nia,,5 bintang
andies eko,,5 bintang
Muhammad Habibie arkhanza,,5 bintang
Naldi Hamzah,"Jangan pernah menyesal
Makanan: 4
Layanan:…
Lainnya",3 bintang
Aditya Sadikin,,5 bintang
EmiL,,1 bintang
Yuli Setiawan,,4 bintang
yudo jsn,,4 bintang
Amira,,5 bintang
Hizqia Chandra,,5 bintang
Zidni Nurrahma Dianto,,5 bintang
Dapur Kintamani,,5 bintang
Virdhi Dwi Ardiawan,,5 bintang
Syifa Azzahra,,5 bintang
Sefa 15,,5 bintang
ajeng bi,,5 bintang
Merdi ISKANDAR,,5 bintang
Satrio Pinandhito,,5 bintang
Ahmed Ishraqy. H,,4 bintang
Jordi Yusuf,,1 bintang
Feren,,5 bintang
Wana Hisab,,5 bintang
lukmanul hakim,,5 bintang
ajeungsukma,,4 bintang
Agnes Merdekawati P,,5 bintang
broto gbb,,4 bintang
Untung Sugiharto,,5 bintang
Aldonius Aldonius,,5 bintang
Ivonne Sukma,,5 bintang
Lidya Rosari,,5 bintang
Jesayas Anggiat Sirait,,4 bintang
agustinus “zags” hermulianto,,5 bintang
Rindu Senja,,5 bintang
Sugi Sugiarto,,5 bintang
Taman Ratu,,5 bintang
Nicki Sianturi,,4 bintang
Mutasim Billah,,5 bintang
DANNY YATIM,"Tempat yang bagus untuk nongkrong bareng teman atau sekadar duduk sendirian (terutama di lantai dasar ada meja kecil untuk satu orang) untuk menghabiskan waktu, sambil menunggu lalu lintas mereda di malam hari. Lainnya",5 bintang
TM,,5 bintang
Ikhlasul Amal,kopi yang enak,5 bintang
Sumardi Ansyah,,1 bintang
Syaqila Aurelia,,5 bintang
Ekarizky Amelia,,4 bintang
Fatimah Nazmatunnisa,,5 bintang
Nurhasan Andrian,,5 bintang
N Arifin,,5 bintang
Donnie Pranggono,,5 bintang
Hendy Pur,,5 bintang
Miranti Apr,,5 bintang
Eka Desiyani,,5 bintang
Putri Hidayah,,4 bintang
Gunna Hanas,,5 bintang
Radik Fandi,,5 bintang
Andrias,,5 bintang
Reza Andrian,,5 bintang
Geraldo Gilbert,,5 bintang
Ghaliza Amola,,5 bintang
fadlur rahman,,5 bintang
Nany Attiqah,,5 bintang
Bayu Megantoro,,3 bintang
Ferdiansyah Irawan,,5 bintang
Corvette,,5 bintang
Esfandiar Rifai,,4 bintang
Ega Irfandi,,5 bintang
Yusri Yusuf,,5 bintang
ajeng elia,,5 bintang
Rizki Fariza,,5 bintang
Sutono Tons,,5 bintang
youtube free,,5 bintang
Adam Trisna,,5 bintang
Yudha Ariestianto,,5 bintang
R. Adam,,5 bintang
Nurul Anshori,,5 bintang
Dwika Harryudi,,5 bintang
Juswoto Work,,5 bintang
Oim panca,,5 bintang
CRIESLIAN ZULIZA - RIAN,,5 bintang
Izorhan,,5 bintang
RAFFA HARY HATAYA ALBINA RAHMANNIA,,5 bintang
Sari Rahma,,5 bintang
Yoyok Prasetyo,,5 bintang
Tubagus Karaeng,,5 bintang
dyllan djoddie,,5 bintang
David Panji Anggara (Panji),,5 bintang
Arry_Karina Journey,,4 bintang
Revan Syam,,5 bintang
Waluyo Ida,,5 bintang
Diah Fajar,,5 bintang
heri setiawan,,5 bintang
