Nama Pengulas,Ulasan,Rating
Mugiwara Asta,"Tempatnya nyaman, baristanya humble
Makanan: 5…
Lainnya",5 bintang
Bias Cahaya,"Pelayanan lambat
Main hp dulu, baru melayani",2 bintang
Zal Wanzha,"Sy beli kopi kenangan di store pos Pengumben tgl 19 maret 2026 yg harga 130 rb dpt 2 liter
Kopi kenangan nya awal nya enak tp besok nya udh asem rasanya … Lainnya",1 bintang
annisa aulia rahmah,"Kali ini nyobain menu baru mereka, si apple pie. Jujur untuk teksturnya udah oke bgtt tapii si saus arennya terlalu thick dan nutup rasa apple jadinya ga balance. Saus arennya juga kelat nempel di mulut gitu jadi aftertastenya kaya manissss bgt. Overall untuk apple pienya 7.5/10 semoga besok kalo cobain udah lebih yummy yaaa kak! Lainnya",5 bintang
Vidiaaadwi Ramdani,"Kopi berkualitas tinggi
Staf ramah, nyaman dan suasana menyenangkan
Ini tempat favorit baru saya untuk akhir pekan. 10/10! Lainnya",5 bintang
Rrea Yovita,"kedai kopi terbaik yang pernah ada
Makanan: 5…
Lainnya",5 bintang
Arif Dwi,"Pelayanan yang baik
Makanan: 5
Layanan:…
Lainnya",5 bintang
Adriani MauLydia Fitriyah,"mantaaappp
Makanan: 5
Layanan:…
Lainnya",5 bintang
Angeline,,5 bintang
Lala Syakila,,5 bintang
Ajoy,,5 bintang
Fitria,,5 bintang
Ridwan Syah,,5 bintang
Jesika Peronita,,5 bintang
Pace Xyz,,5 bintang
Fathan Kawakibi,,5 bintang
Muhamad Andika Ruslan,,5 bintang
Karl Emmanuel Yedija,,5 bintang
Dimas Galuh,,5 bintang
Kaka Somay,,5 bintang
xcv,,5 bintang
ucup Wabi,,5 bintang
Dimas Galuh Pambudhi,,5 bintang
Zikry 182,,5 bintang
Zikry Z,,5 bintang
Jae Amirudin,,5 bintang
Wendri Wendri,,3 bintang
nowyou seeme,,5 bintang
Kundan Karna,Tempat Terbaik untuk Kopi,5 bintang
isna nurd,,5 bintang
ayuwiji pramesty,,5 bintang
Wanda Puspita,,5 bintang
alfiyyah pia,,5 bintang
sucipto 212,,5 bintang
kanaedupe one,,5 bintang
wianda dhika puspita,,5 bintang
C-5 alfiyyah 073,,5 bintang
Alfiyyah Fia,,5 bintang
Im Yoona,,5 bintang
latifah zahara,"Terbaik🧡 …
Makanan: 5
Layanan:…
Lainnya",5 bintang
Alghifari Raffi,,5 bintang
Putri Wulandari,,5 bintang
Elizabeth Natalya Descanti,,5 bintang
Abella Firyal Nahda,,5 bintang
Anatasya Delica siregar,"Tempat yang nyaman untuk duduk dan mengobrol.
Jenis pesanan
Makan di tem…
Lainnya",5 bintang
DIAH SALSABILA PURNAMA,,5 bintang
Tegar rahmat Eka cahya,Bagus,5 bintang
Salsabila Puteri Marchely,sangat nyaman,5 bintang
Dwi Pusfitasari,,5 bintang
Feri Retro,,5 bintang
Rahmi Elfitriati,,5 bintang
affan syahbani,,5 bintang
Fajri Parma,,5 bintang
Arief,"Kopi Kenangan Pos Pengumben berlokasi di Kompleks Bulog - Jl. Raya Pos Pengumben
Parkir mobil cukup luas dan mudah diakses. … Lainnya",4 bintang
Pur Wanto,,5 bintang
Andin Apriyanti,,5 bintang
Hendrik Lai,,5 bintang
fitri aulia,,5 bintang
Toko bunga sesa florist,,5 bintang
Birin Sitba,,5 bintang
annisa frhn21,,5 bintang
Siti Rahmadini,,5 bintang
Maharani Sapto,"Musiknya terlalu keras, membuat suasana jadi kurang nyaman.
Jenis pesanan…
Lainnya",3 bintang
ra dira,,5 bintang
nabilla,,5 bintang
As Kirman,,1 bintang
