nama_pengulas,ulasan,rating,nama_gerai
Angga Prasetiyo,"Pilihan makanan banyak ,keren
Makanan: 5…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Benzema Fattaah,"Salah minuman 2 kali gimana si
Makanan: 1…
Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Dudung Sidik,"Cukup enak, krn pakai jenis gula lain",4 bintang,Kopi Kenangan - Kota Kasablanka
cora Rosinantate,"mall blm buka diaplikasi udah buka LUAR BISA
Makanan: 1…
Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Kamila Ratna Audina,"Mantaaappp lah
Makanan: 5
Layanan:…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Bayu Satria,"Rasa kopinya otentik di setiap outlet
Jenis pesanan
Bawa pulang…
Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Putra Sobo,Kopi kenangan yg enak d hati,5 bintang,Kopi Kenangan - Kota Kasablanka
Muhammad Fadriansyah,"Tempatnya kurang bagus!!!
Makanan: 2…
Lainnya",2 bintang,Kopi Kenangan - Kota Kasablanka
Setia Seproperty,"Tempat nya Oke
Makanan: 5
Layanan:…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Febri Candrawan,Nyempil susah dicari plus antrianya selalu panjang.,1 bintang,Kopi Kenangan - Kota Kasablanka
Amir MACHMUD,"Tempat bagus, minuman enak
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Sil,"Tempatnya nyaman
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Jovie M,"Kopinya enak pas dimulut pas dikantong
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Handika Prameswara,"Pelayanan lama, padahal karyawan banyak",2 bintang,Kopi Kenangan - Kota Kasablanka
Dody Haryanto,Nyaman tempat nya,5 bintang,Kopi Kenangan - Kota Kasablanka
azizah N H,"Pelayanan baik dan ramah
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
kemal,"Kopi nya enak, harganya juga murah",5 bintang,Kopi Kenangan - Kota Kasablanka
MF Noor,Pelayanannya cepat Dan Ramah karyawan,5 bintang,Kopi Kenangan - Kota Kasablanka
Amelia Sahtia,"Nyaman skali tempatnya
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Karisma,Kasir nya gk ramah👎👎👎👎👎 …,1 bintang,Kopi Kenangan - Kota Kasablanka
marwan dhika,Kopi dan tempatnya nyaman .betah,5 bintang,Kopi Kenangan - Kota Kasablanka
Febriana Bornap,Lumayan harganya ga terlalu mahal-mahal,4 bintang,Kopi Kenangan - Kota Kasablanka
vera zandi,Enak sih,5 bintang,Kopi Kenangan - Kota Kasablanka
J Sc,Kopi jadul yang enak dan murahb...,5 bintang,Kopi Kenangan - Kota Kasablanka
Hendy Chandra,Salah satu koken ternyaman sih ini,5 bintang,Kopi Kenangan - Kota Kasablanka
Finn Safee,"Cepet bangeettt mantap
Makanan: 5
Layanan:…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Bertinus Teddy,Seruuui sudah ada tempat kongkownya,5 bintang,Kopi Kenangan - Kota Kasablanka
Linz Linz,Rasa boba ice nya kemanisan🥲 …,3 bintang,Kopi Kenangan - Kota Kasablanka
El Seprima,Kopi kenangan mantan top bgt,5 bintang,Kopi Kenangan - Kota Kasablanka
Zulfi andri,"Asyik dan nyaman
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
budi zan,"Enak, murah dan layanan cepat",5 bintang,Kopi Kenangan - Kota Kasablanka
dody novianto,Tempatnya oke banget👍👍 …,5 bintang,Kopi Kenangan - Kota Kasablanka
Deden Yoga Priyadi,"keren, taat protokol kesehatan",5 bintang,Kopi Kenangan - Kota Kasablanka
Angki Prasetyo,Kopken yang tenang cuman di Sency,4 bintang,Kopi Kenangan - Kota Kasablanka
hilda savista,Juaraaa dan penolongkuu saat sakaw kafein,5 bintang,Kopi Kenangan - Kota Kasablanka
Harry Damanik,Kopi enak,5 bintang,Kopi Kenangan - Kota Kasablanka
Suka Harijanto,"Tempat enak kopi nikmat
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Chandra Setiawan,Selalu antri ramai..,4 bintang,Kopi Kenangan - Kota Kasablanka
Dis No,Kopi kir sendiri,5 bintang,Kopi Kenangan - Kota Kasablanka
Rini tob ahmed,Selalu ramai,4 bintang,Kopi Kenangan - Kota Kasablanka
Masripah,Enak dan nyaman,4 bintang,Kopi Kenangan - Kota Kasablanka
Tarsono Bae,Oke,5 bintang,Kopi Kenangan - Kota Kasablanka
Naning Novela Wahyuni,Mantab,5 bintang,Kopi Kenangan - Kota Kasablanka
Devi Milenial,Mantappp,5 bintang,Kopi Kenangan - Kota Kasablanka
rio mauritz,"Seindah kenangan dengan dia
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Clarissa Edith,Sip,5 bintang,Kopi Kenangan - Kota Kasablanka
Gunawan Dwijanarko,"Rasa kopi nya konsisten
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
acel,"idk, gw ngerasa kopi kenangan mantan rasa kopi nya kurang banget, lebih dominan rasa susu nya? ini rasa susu nya 1 bulan kebelakang lebih dominan bgt, beda sama yg dulu kopi nya masih berasa bgt. ini resep nya dikurangi apa gmna dah? soalnya gw pecinta kopken sejati pasti tau bgt beda nya. huhu",1 bintang,Kopi Kenangan - Kota Kasablanka
Fau,Senin - Jumat pasti beli kopi kenangan creamy aren latte dikokas karena menurut saya hanya kopi ini yang enak tapi harga masih ok disini. … Lainnya,3 bintang,Kopi Kenangan - Kota Kasablanka
Tri Handayani,"parah nunggu driver baru di input sama diproses, driver dr parkiran aja lumayan jalan nya
Layanan:…
Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Rindo Pasaribu,"KOPI NYA GAK ADA MASALAH,
AYAM TOAST NYA BEKU, GILA!
Makanan: 1…
Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Febriana Eka Rada,"Promo qpon tidak sesuai dengan realita. Saya pesen PaHe tdk ada bundling donat atau pun croissant. Minta add on. Jika promo PaHe tdk sesuai dgn yg digambar. Jika  TIDAK SESUAI, jangan diinput di platform apapun promonya. Tau gt saya beli americano saja, ga usah paket2an tdk jelas Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Tengku Putri Sholihah,"Spot nongkrong favorit di Kokas.
Pesen minumnya Dutch Choco Frappe. Sayang pilihan cemilannya gak lengkap, padahal pengen pesen Dirty Croissant Milonya. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Kavian d' Scotch,"Kesel banget setiap kali ke kopi kenangan cabang ini selalu penuh. Isinya karyawan-karyawan WFA yang sekali nongkrong bisa dari pagi sampai malam. Sebenarnya nggak apa-apa selagi nggak ada larangan dari kopi kenangan, masalahnya di sini 1 … Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Endik Mulyono,Mantab,5 bintang,Kopi Kenangan - Kota Kasablanka
Teresa S.,"Maaf, kopinya rasanya sangat tidak enak, bahkan biji kopi Juwara pun (hari ini saya memilih biji kopi biasa & saya tahu saya akan menyesalinya tetapi tetap saya pilih—sebenarnya itu kesalahan saya). Untuk merek ""boulangerie"" mereka, sebaiknya Anda memilih pilihan lain di Kokas jika Anda tidak sedang terburu-buru. Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Radityo Agung Prabowo,"Ini adalah salah satu tempat favorit untuk bertemu di Kokas. Kita sudah tahu rasa Kopi Kenangan.
Mereka menyediakan meja untuk kita nongkrong dan bahkan mengerjakan pekerjaan di … Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Mohit Rohilla,"Makanan - camilan dan roti yang lezat. Terutama kue kering mereka.

Kopi - biji kopi Juawara benar-benar enak. … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Jay,"Harganya lebih dari sekadar harga.

Ada banyak sofa, dan saya melihat banyak orang belajar atau bekerja di sana. … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
T S,"Saya sudah beberapa kali memesan latte panas di sini, tapi hari ini latte saya terlalu panas dan lidah saya terasa terbakar. Saya sudah minta diganti, tapi Aisah bilang suhu ini sudah biasa dia buat. Saya sangat kecewa, kami sudah berdebat … Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka
Sylvia Margaretha,"Saya sudah beberapa kali mengunjungi kedai kopi ini, dan saya perhatikan bahwa ketika kasir wanita melayani pelanggan, dia cenderung kurang ramah. Namun, suasana tempatnya sangat nyaman, dan kopinya selalu seimbang dan lezat. Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka
Himawan Sentosa,"Rasa
Secara keseluruhan, menurut saya kopi mereka enak dan yang membuat mereka istimewa bagi saya adalah mereka menggunakan ""Gula Aren"" yang menambahkan aroma dan … Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Oscar Rodrigo,Tempatnya lumayan. Tempatnya mudah ramai dan distribusi ruangnya kurang efisien. Harganya terjangkau dan rasa minumannya juga lumayan. Wi-Fi-nya lambat.,3 bintang,Kopi Kenangan - Kota Kasablanka
Geoffrey Kelly,"Dipesan lewat Gojeck, saat pemesanan tertulis 27 menit, setelah pembelian 55 menit dan kami tinggal 7 menit dari Kokas.. Jangan percaya Kopi Kenganan Kokas - ini kedua kalinya. Bagaimana mungkin kopi membutuhkan waktu 55 menit untuk dibuat… … Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Ida Hariani,"Kopi dan teh abu-abu melati adalah favorit saya, harganya sangat terjangkau, tempat ini juga menjual tumbler dengan desain lucu dan beberapa promo menarik. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Tirta Yansen,"Terletak di lantai dasar mal, Anda tidak akan menemukan tempat untuk bersantai di sini selama akhir pekan, area tempat duduk akan penuh sesak dengan orang.
Rasa kopinya seenak kopi kenangan lainnya, yang sangat saya sukai dari kedai kopi ini. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Jacqueline Pangestiningtyas,"Seperti biasa Kopen, tempat ini bisa menjadi tempat yang bagus untuk Anda mengadakan pertemuan dengan klien, mengerjakan tugas kampus, atau bekerja dari mana saja 😉 … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Dewi Natalia,"Kopinya enak! Anda bisa meminta kasir untuk mengurangi atau menambah gula dalam kopi Anda. Harganya terjangkau. Lebih murah daripada kedai kopi terkenal di kota ini. Oh, dan menunya unik.",5 bintang,Kopi Kenangan - Kota Kasablanka
Radhit Tasya,"Restoran niche yang benar-benar aneh... Pelanggan disuruh berdiri selama setengah jam hanya untuk bertransaksi di kasir... Pelayanannya sangat lambat... Gratis, banyak kru yang terlibat👎👎 …",1 bintang,Kopi Kenangan - Kota Kasablanka
Odi Hutajulu,Keunikan kopi dilihat dari definisi kata-kata dalam menu. Dan harga yang terjangkau untuk secangkir kopi yang enak.,5 bintang,Kopi Kenangan - Kota Kasablanka
Radja Sitanggang,"Rasa dan pelayanannya luar biasa, harganya sedang, dan nama menunya unik.",5 bintang,Kopi Kenangan - Kota Kasablanka
Eric Bachtiar,Toko Kopi Kenangan yang bagus.. sangat besar dan selalu penuh dengan pelanggan dan pelayanannya cepat.. 👍 … Lainnya,5 bintang,Kopi Kenangan - Kota Kasablanka
Andree Pranoto Putra,"Wifi bagus, kopi enak, tempat yang nyaman untuk bekerja/belajar dari kafe.
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
gatot irfan,"Kopinya enak dan mudah dibeli.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Reynaldo Abisika,Sangat menyukai kopi susu (Kopi Kenangan Mantan) dan harganya murah,5 bintang,Kopi Kenangan - Kota Kasablanka
Sarah Lasroma,Aku sangat suka rasa kopi kenangan mantan. Aku membelinya setiap hari di Kokas 😍 …,5 bintang,Kopi Kenangan - Kota Kasablanka
Sonta Sirait,Anda bisa mendapatkan semuanya di sini. Ada banyak variasi makanan dari Nusantara seperti roembulan (tidak disarankan) hingga makanan Asia dan Barat. Ada banyak pilihan kopi yang akan memuaskan selera Anda. … Lainnya,4 bintang,Kopi Kenangan - Kota Kasablanka
Bayu Suroso,Cocok untuk minum kopi dan menikmati obrolan dengan teman. Beberapa orang bisa membawa laptop dan bekerja di sana. Lainnya,5 bintang,Kopi Kenangan - Kota Kasablanka
mohdtopic,"Kopi 1 juta orang dengan biji kopi arabika sebagai dasar espresso,
menu baru mereka yang disebut seri ringan memiliki rasa kopi yang sedikit ringan namun tetap seimbang, … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Kristanto Nugraha (MelloHello),"Kopi Kenangan seperti yang kita kenal, tapi dalam suasana yang tenang. Cukup kecil namun memberikan ruang ter secluded untuk bersantai. Meskipun pada jam sibuk Anda hanya akan menemukan satu kursi untuk berbagi. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Muhammad Wildan,"Dengan menggunakan aplikasi diskon dana 50% maksimal 25 IDR, menu yang direkomendasikan adalah pandan latte dan kopi kenangan mantan. Salah satu kedai kopi kelas menengah terkemuka. Harga oke, rasa enak. Wajib coba. Areanya kecil tapi tidak … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Anni Okvita,"Suasananya berbeda dari kedai kopi Kopken lainnya.
Jenis pesanan
Makan d…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
A K (Ash K),"Area tempat duduk yang sangat nyaman dengan pelayan yang sangat ramah.

Meskipun sudah akan tutup, kami tidak diminta untuk bergegas... Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Millennial Cat Mom,"Rasanya enak dengan harga terjangkau. Menunya beragam, ada yang kopi dan ada juga yang bukan kopi. Favorit saya adalah Kopi Kenangan Mantan dan Es Milo Dinosaurus. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Diaz Athalah,"Tolong bantu aku kehilangan akal sehatku.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
erwindo setyadi,"Rasa Americano terlalu banyak air. Mohon ditinjau kembali.
Makanan: 5…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Brotoqtoyy,"Tawaran bagus untuk sarapan 🥞 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Nvsh,"Kopi enak dengan harga terjangkau untuk Anda yang tak bisa berhenti minum kopi. Bersiaplah untuk mengantre karena selalu ramai, terutama pukul 12-2 siang dan 3-5 sore.",5 bintang,Kopi Kenangan - Kota Kasablanka
Jay Jang,"Kopi dengan harga terjangkau~ Saya sangat menyukainya.
Makanan: 3…
Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka
Little Star,Saya suka tempat yang hangat dan nyaman ini,5 bintang,Kopi Kenangan - Kota Kasablanka
Andrean Okta,Ruang yang bagus untuk bekerja!!,5 bintang,Kopi Kenangan - Kota Kasablanka
Rangga Sinatriya,Kopi enak dengan harga terjangkau.,5 bintang,Kopi Kenangan - Kota Kasablanka
Tika tika,Rasa yang enak dengan harga yang wajar.,4 bintang,Kopi Kenangan - Kota Kasablanka
In My Cupz,"Disarankan untuk sedikit mengistirahatkan kaki Anda setelah berjalan-jalan di mal ini.
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Aldilas Achmad Nursetyo,"Nyaman untuk WFC (Work from Cafe)
Makanan: 5…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Ghozy Naim,"tempat ngopi yang enak, es kenangan mantan tetep yang terbaik buat saya!",5 bintang,Kopi Kenangan - Kota Kasablanka
rumi al-afghani,"Antriannya memang panjang sekali, tapi kopinya lebih enak daripada Starbucks 😀 …",4 bintang,Kopi Kenangan - Kota Kasablanka
Riii,"cukup ramai dan selalu penuh
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Anth Shu,Tidak buruk,4 bintang,Kopi Kenangan - Kota Kasablanka
Hermawan Pramudya,"Suka kopi gula aren
Makanan: 5
Layanan:…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Eric Rumengan,Salah satu kedai kopi favorit saya di Kota Kasablanka Mall,5 bintang,Kopi Kenangan - Kota Kasablanka
Satya Rahadhian,Kenangan panas dengan sedikit gula adalah yang terbaik.,4 bintang,Kopi Kenangan - Kota Kasablanka
Budi Raharjo,Kopi dengan harga bagus tapi rasa yang enak.,4 bintang,Kopi Kenangan - Kota Kasablanka
Gilbert Emmanuel,"Pelayanan yang baik
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Irwan Soenanta,"Tempat yang luar biasa untuk bertemu atau bekerja.
Jenis pesanan
Makan d…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Komang Setiabudi SH,"Kopi dan rotinya enak sekali.
Jenis makanan
Makan siang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Steve Welly,"Americano wajib dicoba.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Ilham Alfian,Tempat yang bagus dengan harga yang wajar.,5 bintang,Kopi Kenangan - Kota Kasablanka
Gary Axel,keracunan beli setiap hari,5 bintang,Kopi Kenangan - Kota Kasablanka
Riesca Risnendar,Saya tidak minum kopi.,1 bintang,Kopi Kenangan - Kota Kasablanka
Eliata Suliman,"Bagus
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
adnan ruzi,"Ini tidak buruk
Makanan: 4
Layanan:…
Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Irfan Nurhanif,"Favorit semua orang
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Hari Hartono,"Janji temu, kuliner, alasan",5 bintang,Kopi Kenangan - Kota Kasablanka
faisal muhammad,Lezat,5 bintang,Kopi Kenangan - Kota Kasablanka
wita s,Ini tempat yang bagus,5 bintang,Kopi Kenangan - Kota Kasablanka
Ghalihaji Hadipranata,Bagus,5 bintang,Kopi Kenangan - Kota Kasablanka
Tri Purwanto,Mohon tambah tempat duduk.,4 bintang,Kopi Kenangan - Kota Kasablanka
Ziza Salam,Kopi lokal yang enak,5 bintang,Kopi Kenangan - Kota Kasablanka
Krisna E,"kopi enak di kota
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
FM2N N70,Kopi yang enak,5 bintang,Kopi Kenangan - Kota Kasablanka
Michael Sentoso,Bagus!,4 bintang,Kopi Kenangan - Kota Kasablanka
Sri Prawesti Koeswardani,"Suasananya terlalu ramai.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Nikolaus Andhika,"Hampir setiap minggu kesini entah abis pulang kerja atau pulang gereja, tapi belum pernah sekecewa ini. Service nya nilai 0 sekali apalagi staff nya yang berbaju putih sepertinya masih trainee ya itu dia berbohong. … Lainnya",1 bintang,KopiKenangan-BlokMPlaza(LG)
Eva Rahmayuniar,"Tempatnya luas dan stok pastry bakery nya banyak jadi enak buat nemenin ngopi. stop kontaknya juga ada, kalo ga bisa ngecas krna penuh bisa nitip ke baristanya wkwk baristanya ramah dan selalu merekomendasikan menu yang cocok sesuai keinginan saya, thanks Lainnya",5 bintang,KopiKenangan-BlokMPlaza(LG)
Nadia Asmarani,"Pesen semuanya normal tapi pas udah jadi cuman setengah kayak less ice yang beneran dikit banget es nya dan mas nya cuman diem aja tidak menjelaskan, kecuali saya tanya, jawabanya juga tidak memuaskan hanya bilang es nya habis tanpa konfirmasi terlebih dahulu. Lainnya",2 bintang,KopiKenangan-BlokMPlaza(LG)
Fabian Lakoy,"Kamu lagi cari tempat nongkrong yang asyik di Mall Plaza Blok M? Kopi Kenangan adalah jawabannya, bro! Cafe ini punya suasana yang nyaman banget, dengan dekorasi yang minimalis dan modern. … Lainnya",5 bintang,KopiKenangan-BlokMPlaza(LG)
Meisya Ayudita,Saya biasa ke sini kalo habis pulang kerja enak buat nyantai. Baristanya juga servicenya cepet dan membantu banget. Apalagi kalo rush hour nggak perlu capek ngantri karena saya tinggal duduk dan pesen by apps. Oke deh tempatnya. Lainnya,5 bintang,KopiKenangan-BlokMPlaza(LG)
Juju Jumaroh,"Tempatnya cukup besar  berada di LG  sebrangnya guardian, sebelum marugame. Langsung keluatan saat turun eskalator. Kopi kenangan mantan 19k, ice americano Large 20an. Banyak sofa yg ada colokannya. Staffnya ramah  tapi kasir ya gitu hehehe. Bawa tumbler sendiri lebih enak. Lainnya",4 bintang,KopiKenangan-BlokMPlaza(LG)
Winda GST,"Saat kesini cobain bundling drink and toast
Persennya Kopi Kenangan Mantan R dan Wahyu Toast
Mulai dari rasa kopi nya enak gg terlalu manis enak. … Lainnya",5 bintang,KopiKenangan-BlokMPlaza(LG)
arniescza utomo,"Ga pernah sekecewa ini sm pelayanan KopKen. Semalam pesan kenangan mantan 1 cup. Kasirnya emang tanya mau gula seberapa dll, dan aku ngomong semua normal, kecuali gula. Dan ternyata kopi aku diberi cuman separuh dari cup. Udah minta es … Lainnya",1 bintang,KopiKenangan-BlokMPlaza(LG)
